Year;Month;Date;Station;number of hauls (benthic);number of hauls (pelagic);notes;;
2011;11;29.11.2011;Sylt-6;1;1;;;
2011;11;29.11.2011;Sylt-7;1;0;;;
2011;11;not sampled;Sylt-8;0;0;;;
2011;11;not sampled;Sylt-9;0;0;;;
2011;12;not sampled;Sylt-1;0;0;;;
2011;12;not sampled;Sylt-2;0;0;;;
2011;12;not sampled;Sylt-3;0;0;;;
2011;12;not sampled;Sylt-4;0;0;;;
2011;12;not sampled;Sylt-5;0;0;;;
2011;12;not sampled;Sylt-6;0;0;;;
2011;12;not sampled;Sylt-7;0;0;;;
2011;12;not sampled;Sylt-8;0;0;;;
2011;12;not sampled;Sylt-9;0;0;;;
2012;1;16.01.2012;Sylt-1;1;1;;;
2012;1;16.01.2012;Sylt-2;1;1;;;
2012;1;16.01.2012;Sylt-3;1;0;;;
2012;1;16.01.2012;Sylt-4;1;1;;;
2012;1;17.01.2012;Sylt-5;1;0;;;
2012;1;17.01.2012;Sylt-6;1;1;;;
2012;1;17.01.2012;Sylt-7;1;0;;;
2012;1;not sampled;Sylt-8;0;0;;;
2012;1;not sampled;Sylt-9;0;0;;;
2012;2;22.02.2012;Sylt-1;1;1;;;
2012;2;22.02.2012;Sylt-2;1;1;;;
2012;2;22.02.2012;Sylt-3;1;0;;;
2012;2;22.02.2012;Sylt-4;1;1;;;
2012;2;23.02.2012;Sylt-5;1;0;;;
2012;2;23.02.2012;Sylt-6;1;1;;;
2012;2;23.02.2012;Sylt-7;1;0;;;
2012;2;not sampled;Sylt-8;0;0;;;
2012;2;not sampled;Sylt-9;0;0;;;
2012;3;26.03.2012;Sylt-1;1;1;;;
2012;3;26.03.2012;Sylt-2;1;1;;;
2012;3;26.03.2012;Sylt-3;1;0;;;
2012;3;26.03.2012;Sylt-4;1;1;;;
2012;3;27.03.2012;Sylt-5;1;0;;;
2012;3;27.03.2012;Sylt-6;1;1;;;
2012;3;27.03.2012;Sylt-7;1;0;;;
2012;3;26.03.2012;Sylt-8;1;1;;;
2012;3;27.03.2012;Sylt-9;1;1;;;
2012;4;17.04.2012;Sylt-1;1;1;jellyfish;;
2012;4;17.04.2012;Sylt-2;1;1;;;
2012;4;17.04.2012;Sylt-3;1;0;;;
2012;4;17.04.2012;Sylt-4;1;1;;;
2012;4;18.04.2012;Sylt-5;1;0;;;
2012;4;18.04.2012;Sylt-6;1;1;;;
2012;4;18.04.2012;Sylt-7;1;0;;;
2012;4;not sampled;Sylt-8;0;0;;;
2012;4;not sampled;Sylt-9;0;0;;;
2012;5;14.05.2012;Sylt-1;1;1;jellyfish;;
2012;5;14.05.2012;Sylt-2;1;1;jellyfish;;
2012;5;14.05.2012;Sylt-3;1;0;;;
2012;5;15.05.2012;Sylt-4;1;1;;;
2012;5;15.05.2012;Sylt-5;1;0;;;
2012;5;15.05.2012;Sylt-6;1;1;;;
2012;5;15.05.2012;Sylt-7;1;0;;;
2012;5;not sampled;Sylt-8;0;0;;;
2012;5;not sampled;Sylt-9;0;0;;;
2012;6;11.06.2012;Sylt-1;1;1;;;
2012;6;11.06.2012;Sylt-2;1;1;;;
2012;6;11.06.2012;Sylt-3;1;0;;;
2012;6;11.06.2012;Sylt-4;1;1;;;
2012;6;12.06.2012;Sylt-5;1;0;;;
2012;6;12.06.2012;Sylt-6;1;1;algae;;
2012;6;12.06.2012;Sylt-7;1;0;;;
2012;6;11.06.2012;Sylt-8;1;1;;;
2012;6;12.06.2012;Sylt-9;1;1;;;
2012;7;16.07.2012;Sylt-1;1;1;;;
2012;7;16.07.2012;Sylt-2;1;1;;;
2012;7;16.07.2012;Sylt-3;1;0;;;
2012;7;16.07.2012;Sylt-4;1;1;;;
2012;7;17.07.2012;Sylt-5;1;0;22,5 kg Carcinus;;
2012;7;17.07.2012;Sylt-6;1;1;;;
2012;7;17.07.2012;Sylt-7;1;0;;;
2012;7;not sampled;Sylt-8;0;0;;;
2012;7;not sampled;Sylt-9;0;0;;;
2012;8;20.08.2012;Sylt-1;1;1;;;
2012;8;20.08.2012;Sylt-2;1;1;;;
2012;8;20.08.2012;Sylt-3;1;0;;;
2012;8;20.08.2012;Sylt-4;1;1;;;
2012;8;21.08.2012;Sylt-5;1;0; ;;
2012;8;21.08.2012;Sylt-6;1;1;;;
2012;8;21.08.2012;Sylt-7;1;0;;;
2012;8;not sampled;Sylt-8;0;0;;;
2012;8;not sampled;Sylt-9;0;0;;;
2012;9;19.09.2012;Sylt-1;1;1;;;
2012;9;19.09.2012;Sylt-2;1;1;;;
2012;9;19.09.2012;Sylt-3;1;0;;;
2012;9;19.09.2012;Sylt-4;1;1;;;
2012;9;20.09.2012;Sylt-5;1;0;;;
2012;9;20.09.2012;Sylt-6;1;1;;;
2012;9;20.09.2012;Sylt-7;1;0;;;
2012;9;not sampled;Sylt-8;0;0;;;
2012;9;not sampled;Sylt-9;0;0;;;
2012;10;24.10.2012;Sylt-1;1;1;;;
2012;10;24.10.2012;Sylt-2;1;1;;;
2012;10;24.10.2012;Sylt-3;1;0;;;
2012;10;24.10.2012;Sylt-4;1;1;;;
2012;10;25.10.2012;Sylt-5;1;0;;;
2012;10;25.10.2012;Sylt-6;1;1;;;
2012;10;25.10.2012;Sylt-7;1;0;;;
2012;10;not sampled;Sylt-8;0;0;;;
2012;10;not sampled;Sylt-9;0;0;;;
2012;11;not sampled;Sylt-1;0;0;;;
2012;11;not sampled;Sylt-2;0;0;;;
2012;11;not sampled;Sylt-3;0;0;;;
2012;11;not sampled;Sylt-4;0;0;;;
2012;11;not sampled;Sylt-5;0;0;;;
2012;11;not sampled;Sylt-6;0;0;;;
2012;11;not sampled;Sylt-7;0;0;;;
2012;11;not sampled;Sylt-8;0;0;;;
2012;11;not sampled;Sylt-9;0;0;;;
2012;12;05.12.2012;Sylt-1;1;1;;;
2012;12;05.12.2012;Sylt-2;1;1;;;
2012;12;05.12.2012;Sylt-3;1;0;;;
2012;12;05.12.2012;Sylt-4;1;1;;;
2012;12;06.12.2012;Sylt-5;1;0;;;
2012;12;06.12.2012;Sylt-6;1;1;;;
2012;12;06.12.2012;Sylt-7;1;0;;;
2012;12;not sampled;Sylt-8;0;0;;;
2012;12;not sampled;Sylt-9;0;0;;;
2013;1;05.02.2013;Sylt-1;1;1;;;
2013;1;05.02.2013;Sylt-2;1;1;;;
2013;1;05.02.2013;Sylt-3;1;0;;;
2013;1;05.02.2013;Sylt-4;1;1;;;
2013;1;06.02.2013;Sylt-5;1;0;;;
2013;1;06.02.2013;Sylt-6;1;1;;;
2013;1;06.02.2013;Sylt-7;1;0;;;
2013;1;not sampled;Sylt-8;0;0;;;
2013;1;not sampled;Sylt-9;0;0;;;
2013;2;25.02.2013;Sylt-1;1;1;;;
2013;2;25.02.2013;Sylt-2;1;1;;;
2013;2;25.02.2013;Sylt-3;1;0;;;
2013;2;25.02.2013;Sylt-4;1;1;;;
2013;2;26.02.2013;Sylt-5;1;0;;;
2013;2;26.02.2013;Sylt-6;1;1;;;
2013;2;26.02.2013;Sylt-7;1;0;;;
2013;2;not sampled;Sylt-8;0;0;;;
2013;2;not sampled;Sylt-9;0;0;;;
2013;3;27.03.2013;Sylt-1;1;1;;;
2013;3;27.03.2013;Sylt-2;1;1;;;
2013;3;27.03.2013;Sylt-3;1;0;;;
2013;3;27.03.2013;Sylt-4;1;1;;;
2013;3;28.03.2013;Sylt-5;1;0;;;
2013;3;28.03.2013;Sylt-6;1;1;;;
2013;3;28.03.2013;Sylt-7;1;0;;;
2013;3;not sampled;Sylt-8;0;0;;;
2013;3;not sampled;Sylt-9;0;0;;;
2013;4;24.04.2013;Sylt-1;1;1;;;
2013;4;24.04.2013;Sylt-2;1;1;;;
2013;4;24.04.2013;Sylt-3;1;0;;;
2013;4;24.04.2013;Sylt-4;1;1;;;
2013;4;25.04.2013;Sylt-5;1;0;;;
2013;4;25.04.2013;Sylt-6;1;1;;;
2013;4;25.04.2013;Sylt-7;1;0;;;
2013;4;24.04.2013;Sylt-8;1;1;;;
2013;4;25.04.2013;Sylt-9;1;1;;;
2013;5;27.05.2013;Sylt-1;1;1;;;
2013;5;27.05.2013;Sylt-2;1;1;;;
2013;5;27.05.2013;Sylt-3;1;0;;;
2013;5;27.05.2013;Sylt-4;1;1;;;
2013;5;28.05.2013;Sylt-5;1;0;;;
2013;5;28.05.2013;Sylt-6;1;1;;;
2013;5;28.05.2013;Sylt-7;1;0;;;
2013;5;not sampled;Sylt-8;0;0;;;
2013;5;not sampled;Sylt-9;0;0;technical problems;;
2013;6;not sampled;Sylt-1;0;0;technical problems;;
2013;6;not sampled;Sylt-2;0;0;technical problems;;
2013;6;not sampled;Sylt-3;0;0;technical problems;;
2013;6;not sampled;Sylt-4;0;0;technical problems;;
2013;6;not sampled;Sylt-5;0;0;technical problems;;
2013;6;not sampled;Sylt-6;0;0;technical problems;;
2013;6;not sampled;Sylt-7;0;0;technical problems;;
2013;6;not sampled;Sylt-8;0;0;technical problems;;
2013;6;not sampled;Sylt-9;0;0;technical problems;;
2013;7;29.07.2013;Sylt-1;1;0;no pelagic sampling: technical Problems;;
2013;7;not sampled;Sylt-2;0;0;technical problems;;
2013;7;29.07.2013;Sylt-3;1;0;;;
2013;7;not sampled;Sylt-4;0;0;technical problems;;
2013;7;not sampled;Sylt-5;0;0;technical problems;;
2013;7;not sampled;Sylt-6;0;0;technical problems;;
2013;7;not sampled;Sylt-7;0;0;technical problems;;
2013;7;not sampled;Sylt-8;0;0;technical problems;;
2013;7;not sampled;Sylt-9;0;0;technical problems;;
2013;8;not sampled;Sylt-1;0;0;technical problems;;
2013;8;not sampled;Sylt-2;0;0;technical problems;;
2013;8;not sampled;Sylt-3;0;0;technical problems;;
2013;8;not sampled;Sylt-4;0;0;technical problems;;
2013;8;not sampled;Sylt-5;0;0;technical problems;;
2013;8;not sampled;Sylt-6;0;0;technical problems;;
2013;8;not sampled;Sylt-7;0;0;technical problems;;
2013;8;not sampled;Sylt-8;0;0;technical problems;;
2013;8;not sampled;Sylt-9;0;0;technical problems;;
2013;9;not sampled;Sylt-1;0;0;technical problems;;
2013;9;not sampled;Sylt-2;0;0;technical problems;;
2013;9;not sampled;Sylt-3;0;0;technical problems;;
2013;9;not sampled;Sylt-4;0;0;technical problems;;
2013;9;not sampled;Sylt-5;0;0;technical problems;;
2013;9;not sampled;Sylt-6;0;0;technical problems;;
2013;9;not sampled;Sylt-7;0;0;technical problems;;
2013;9;not sampled;Sylt-8;0;0;technical problems;;
2013;9;not sampled;Sylt-9;0;0;technical problems;;
2013;10;not sampled;Sylt-1;0;0;technical problems;;
2013;10;not sampled;Sylt-2;0;0;technical problems;;
2013;10;not sampled;Sylt-3;0;0;technical problems;;
2013;10;not sampled;Sylt-4;0;0;technical problems;;
2013;10;not sampled;Sylt-5;0;0;technical problems;;
2013;10;not sampled;Sylt-6;0;0;technical problems;;
2013;10;not sampled;Sylt-7;0;0;technical problems;;
2013;10;not sampled;Sylt-8;0;0;technical problems;;
2013;10;not sampled;Sylt-9;0;0;technical problems;;
2013;11;not sampled;Sylt-1;0;0;technical problems;;
2013;11;not sampled;Sylt-2;0;0;technical problems;;
2013;11;not sampled;Sylt-3;0;0;technical problems;;
2013;11;not sampled;Sylt-4;0;0;technical problems;;
2013;11;not sampled;Sylt-5;0;0;technical problems;;
2013;11;not sampled;Sylt-6;0;0;technical problems;;
2013;11;not sampled;Sylt-7;0;0;technical problems;;
2013;11;not sampled;Sylt-8;0;0;technical problems;;
2013;11;not sampled;Sylt-9;0;0;technical problems;;
2013;12;not sampled;Sylt-1;0;0;technical problems;;
2013;12;not sampled;Sylt-2;0;0;technical problems;;
2013;12;not sampled;Sylt-3;0;0;technical problems;;
2013;12;not sampled;Sylt-4;0;0;technical problems;;
2013;12;not sampled;Sylt-5;0;0;technical problems;;
2013;12;not sampled;Sylt-6;0;0;technical problems;;
2013;12;not sampled;Sylt-7;0;0;technical problems;;
2013;12;not sampled;Sylt-8;0;0;technical problems;;
2013;12;not sampled;Sylt-9;0;0;technical problems;;
2014;1;not sampled;Sylt-1;0;0;technical problems;;
2014;1;not sampled;Sylt-2;0;0;technical problems;;
2014;1;not sampled;Sylt-3;0;0;technical problems;;
2014;1;not sampled;Sylt-4;0;0;technical problems;;
2014;1;not sampled;Sylt-5;0;0;technical problems;;
2014;1;not sampled;Sylt-6;0;0;technical problems;;
2014;1;not sampled;Sylt-7;0;0;technical problems;;
2014;1;not sampled;Sylt-8;0;0;technical problems;;
2014;1;not sampled;Sylt-9;0;0;technical problems;;
2014;2;not sampled;Sylt-1;0;0;technical problems;;
2014;2;not sampled;Sylt-2;0;0;technical problems;;
2014;2;not sampled;Sylt-3;0;0;technical problems;;
2014;2;not sampled;Sylt-4;0;0;technical problems;;
2014;2;not sampled;Sylt-5;0;0;technical problems;;
2014;2;not sampled;Sylt-6;0;0;technical problems;;
2014;2;not sampled;Sylt-7;0;0;technical problems;;
2014;2;not sampled;Sylt-8;0;0;technical problems;;
2014;2;not sampled;Sylt-9;0;0;technical problems;;
2014;3;not sampled;Sylt-1;0;0;technical problems;;
2014;3;not sampled;Sylt-2;0;0;technical problems;;
2014;3;not sampled;Sylt-3;0;0;technical problems;;
2014;3;not sampled;Sylt-4;0;0;technical problems;;
2014;3;not sampled;Sylt-5;0;0;technical problems;;
2014;3;not sampled;Sylt-6;0;0;technical problems;;
2014;3;not sampled;Sylt-7;0;0;technical problems;;
2014;3;not sampled;Sylt-8;0;0;technical problems;;
2014;3;not sampled;Sylt-9;0;0;technical problems;;
2014;4;not sampled;Sylt-1;0;0;technical problems;;
2014;4;not sampled;Sylt-2;0;0;technical problems;;
2014;4;not sampled;Sylt-3;0;0;technical problems;;
2014;4;not sampled;Sylt-4;0;0;technical problems;;
2014;4;not sampled;Sylt-5;0;0;technical problems;;
2014;4;not sampled;Sylt-6;0;0;technical problems;;
2014;4;not sampled;Sylt-7;0;0;technical problems;;
2014;4;not sampled;Sylt-8;0;0;technical problems;;
2014;4;not sampled;Sylt-9;0;0;technical problems;;
2014;5;07.05.2014;Sylt-1;1;1;jellyfish, new ship;;
2014;5;07.05.2014;Sylt-2;1;1;jellyfish, new ship;;
2014;5;07.05.2014;Sylt-3;1;0;new ship;;
2014;5;07.05.2014;Sylt-4;1;1;new ship;;
2014;5;08.05.2014;Sylt-5;1;0;jellyfish, new ship;;
2014;5;08.05.2014;Sylt-6;1;1;jellyfish, new ship;;
2014;5;08.05.2014;Sylt-7;1;0;jellyfish, new ship;;
2014;5;07.05.2014;Sylt-8;1;1;jellyfish, new ship;;
2014;5;08.05.2014;Sylt-9;1;1;jellyfish, new ship;;
2014;6;not sampled;Sylt-1;0;0;technical problems;;
2014;6;not sampled;Sylt-2;0;0;technical problems;;
2014;6;not sampled;Sylt-3;0;0;technical problems;;
2014;6;not sampled;Sylt-4;0;0;technical problems;;
2014;6;not sampled;Sylt-5;0;0;technical problems;;
2014;6;not sampled;Sylt-6;0;0;technical problems;;
2014;6;not sampled;Sylt-7;0;0;technical problems;;
2014;6;not sampled;Sylt-8;0;0;technical problems;;
2014;6;not sampled;Sylt-9;0;0;technical problems;;
2014;7;07.07.2014;Sylt-1;1;1;jellyfish;;
2014;7;07.07.2014;Sylt-2;1;1;;;
2014;7;07.07.2014;Sylt-3;1;0;;;
2014;7;07.07.2014;Sylt-4;1;1;;;
2014;7;08.07.2014;Sylt-5;1;0;;;
2014;7;08.07.2014;Sylt-6;1;1;;;
2014;7;08.07.2014;Sylt-7;1;0;;;
2014;7;not sampled;Sylt-8;0;0;;;
2014;7;not sampled;Sylt-9;0;0;;;
2014;8;not sampled;Sylt-1;0;0;;;
2014;8;not sampled;Sylt-2;0;0;;;
2014;8;not sampled;Sylt-3;0;0;;;
2014;8;not sampled;Sylt-4;0;0;;;
2014;8;not sampled;Sylt-5;0;0;;;
2014;8;not sampled;Sylt-6;0;0;;;
2014;8;not sampled;Sylt-7;0;0;;;
2014;8;not sampled;Sylt-8;0;0;;;
2014;8;not sampled;Sylt-9;0;0;;;
2014;9;08.09.2014;Sylt-1;1;1;;;
2014;9;08.09.2014;Sylt-2;1;1;;;
2014;9;08.09.2014;Sylt-3;1;0;;;
2014;9;10.09.2014;Sylt-4;1;1;;;
2014;9;10.09.2014;Sylt-5;1;0;;;
2014;9;10.09.2014;Sylt-6;1;1;;;
2014;9;10.09.2014;Sylt-7;1;0;;;
2014;9;not sampled;Sylt-8;0;0;;;
2014;9;not sampled;Sylt-9;0;0;;;
2014;10;15.10.2014;Sylt-1;1;1;;;
2014;10;15.10.2014;Sylt-2;1;1;jellyfish;;
2014;10;15.10.2014;Sylt-3;1;0;;;
2014;10;15.10.2014;Sylt-4;1;1;;;
2014;10;16.10.2014;Sylt-5;1;0;;;
2014;10;16.10.2014;Sylt-6;1;1;;;
2014;10;16.10.2014;Sylt-7;1;0;;;
2014;10;not sampled;Sylt-8;0;0;;;
2014;10;not sampled;Sylt-9;0;0;;;
2014;11;17.11.2014;Sylt-1;1;1;;;
2014;11;17.11.2014;Sylt-2;1;1;;;
2014;11;17.11.2014;Sylt-3;1;0;;;
2014;11;17.11.2014;Sylt-4;1;1;;;
2014;11;18.11.2014;Sylt-5;1;0;;;
2014;11;18.11.2014;Sylt-6;1;1;;;
2014;11;18.11.2014;Sylt-7;1;0;;;
2014;11;not sampled;Sylt-8;0;0;;;
2014;11;not sampled;Sylt-9;0;0;;;
2014;12;not sampled;Sylt-1;0;0;;;
2014;12;not sampled;Sylt-2;0;0;;;
2014;12;not sampled;Sylt-3;0;0;;;
2014;12;not sampled;Sylt-4;0;0;;;
2014;12;not sampled;Sylt-5;0;0;;;
2014;12;not sampled;Sylt-6;0;0;;;
2014;12;not sampled;Sylt-7;0;0;;;
2014;12;not sampled;Sylt-8;0;0;;;
2014;12;not sampled;Sylt-9;0;0;;;
2015;1;not sampled;Sylt-1;0;0;;;
2015;1;not sampled;Sylt-2;0;0;;;
2015;1;not sampled;Sylt-3;0;0;;;
2015;1;not sampled;Sylt-4;0;0;;;
2015;1;not sampled;Sylt-5;0;0;;;
2015;1;not sampled;Sylt-6;0;0;;;
2015;1;not sampled;Sylt-7;0;0;;;
2015;1;not sampled;Sylt-8;0;0;;;
2015;1;not sampled;Sylt-9;0;0;;;
2015;2;02.02.2015;Sylt-1;1;1;;;
2015;2;02.02.2015;Sylt-2;1;1;;;
2015;2;02.02.2015;Sylt-3;1;0;;;
2015;2;02.02.2015;Sylt-4;1;1;;;
2015;2;03.02.2015;Sylt-5;1;0;;;
2015;2;03.02.2015;Sylt-6;1;1;;;
2015;2;03.02.2015;Sylt-7;1;0;;;
2015;2;not sampled;Sylt-8;0;0;;;
2015;2;not sampled;Sylt-9;0;0;;;
2015;3;30.03.2015;Sylt-1;1;1;;;
2015;3;30.03.2015;Sylt-2;1;1;;;
2015;3;30.03.2015;Sylt-3;1;0;;;
2015;3;not sampled;Sylt-4;0;0;;;
2015;3;30.03.2015;Sylt-5;1;0;;;
2015;3;30.03.2015;Sylt-6;1;1;;;
2015;3;30.03.2015;Sylt-7;1;0;;;
2015;3;not sampled;Sylt-8;0;0;;;
2015;3;not sampled;Sylt-9;0;0;;;
2015;4;27.04.2015;Sylt-1;1;1;;;
2015;4;27.04.2015;Sylt-2;1;1;;;
2015;4;27.04.2015;Sylt-3;1;0;;;
2015;4;27.04.2015;Sylt-4;1;1;;;
2015;4;28.04.2015;Sylt-5;1;0;;;
2015;4;28.04.2015;Sylt-6;1;1;;;
2015;4;28.04.2015;Sylt-7;1;0;;;
2015;4;not sampled;Sylt-8;0;0;;;
2015;4;not sampled;Sylt-9;0;0;;;
2015;5;not sampled;Sylt-1;0;0;;;
2015;5;not sampled;Sylt-2;0;0;;;
2015;5;not sampled;Sylt-3;0;0;;;
2015;5;not sampled;Sylt-4;0;0;;;
2015;5;not sampled;Sylt-5;0;0;;;
2015;5;not sampled;Sylt-6;0;0;;;
2015;5;not sampled;Sylt-7;0;0;;;
2015;5;not sampled;Sylt-8;0;0;;;
2015;5;not sampled;Sylt-9;0;0;;;
2015;6;15.06.2015;Sylt-1;1;1;;;
2015;6;15.06.2015;Sylt-2;1;1;;;
2015;6;15.06.2015;Sylt-3;1;0;;;
2015;6;15.06.2015;Sylt-4;1;1;;;
2015;6;16.06.2015;Sylt-5;1;0;;;
2015;6;16.06.2015;Sylt-6;1;1;jellyfish;;
2015;6;16.06.2015;Sylt-7;1;0;jellyfish;;
2015;6;not sampled;Sylt-8;0;0;;;
2015;6;not sampled;Sylt-9;0;0;;;
2015;7;13.07.2015;Sylt-1;1;1;;;
2015;7;13.07.2015;Sylt-2;1;1;;;
2015;7;13.07.2015;Sylt-3;1;0;;;
2015;7;14.07.2015;Sylt-4;1;1;;;
2015;7;13.07.2015;Sylt-5;1;0;;;
2015;7;14.07.2015;Sylt-6;1;1;;;
2015;7;14.07.2015;Sylt-7;1;0;;;
2015;7;13.07.2015;Sylt-8;1;1;;;
2015;7;14.07.2015;Sylt-9;1;1;;;
2015;8;10.08.2015;Sylt-1;1;1;;;
2015;8;10.08.2015;Sylt-2;1;1;;;
2015;8;10.08.2015;Sylt-3;1;0;;;
2015;8;11.08.2015;Sylt-4;1;1;;;
2015;8;10.08.2015;Sylt-5;1;0;;;
2015;8;11.08.2015;Sylt-6;1;1;;;
2015;8;11.08.2015;Sylt-7;1;0;;;
2015;8;not sampled;Sylt-8;0;0;;;
2015;8;not sampled;Sylt-9;0;0;;;
2015;9;14.09.2015;Sylt-1;1;1;;;
2015;9;14.09.2015;Sylt-2;1;1;;;
2015;9;14.09.2015;Sylt-3;1;0;;;
2015;9;14.09.2015;Sylt-4;1;1;;;
2015;9;15.09.2015;Sylt-5;1;0;;;
2015;9;15.09.2015;Sylt-6;1;1;;;
2015;9;15.09.2015;Sylt-7;1;0;;;
2015;9;not sampled;Sylt-8;0;0;;;
2015;9;not sampled;Sylt-9;0;0;;;
2015;10;not sampled;Sylt-1;0;0;;;
2015;10;not sampled;Sylt-2;0;0;;;
2015;10;not sampled;Sylt-3;0;0;;;
2015;10;not sampled;Sylt-4;0;0;;;
2015;10;not sampled;Sylt-5;0;0;;;
2015;10;not sampled;Sylt-6;0;0;;;
2015;10;not sampled;Sylt-7;0;0;;;
2015;10;not sampled;Sylt-8;0;0;;;
2015;10;not sampled;Sylt-9;0;0;;;
2015;11;17.11.2015;Sylt-1;1;1;;;
2015;11;17.11.2015;Sylt-2;1;1;;;
2015;11;16.11.2015;Sylt-3;1;0;net broken;;
2015;11;17.11.2015;Sylt-4;1;1;;;
2015;11;17.11.2015;Sylt-5;1;0;;;
2015;11;17.11.2015;Sylt-6;1;1;;;
2015;11;17.11.2015;Sylt-7;1;0;;;
2015;11;not sampled;Sylt-8;0;0;;;
2015;11;not sampled;Sylt-9;0;0;;;
2015;12;15.12.2015;Sylt-1;1;1;;;
2015;12;15.12.2015;Sylt-2;1;1;;;
2015;12;15.12.2015;Sylt-3;1;0;;;
2015;12;15.12.2015;Sylt-4;1;1;;;
2015;12;15.12.2015;Sylt-5;1;0;;;
2015;12;15.12.2015;Sylt-6;1;1;;;
2015;12;15.12.2015;Sylt-7;1;0;;;
2015;12;not sampled;Sylt-8;0;0;;;
2015;12;not sampled;Sylt-9;0;0;;;
2016;1;18.01.2016;Sylt-1;1;1;;;
2016;1;18.01.2016;Sylt-2;1;1;;;
2016;1;18.01.2016;Sylt-3;1;0;;;
2016;1;18.01.2016;Sylt-4;1;1;;;
2016;1;21.01.2016;Sylt-5;1;0;;;
2016;1;21.01.2016;Sylt-6;1;1;;;
2016;1;21.01.2016;Sylt-7;1;0;;;
2016;1;18.01.2016;Sylt-8;1;1;;;
2016;1;21.01.2016;Sylt-9;1;1;;;
2016;2;22.02.2016;Sylt-1;1;1;;;
2016;2;22.02.2016;Sylt-2;1;1;;;
2016;2;22.02.2016;Sylt-3;1;0;;;
2016;2;24.02.2016;Sylt-4;1;1;;;
2016;2;24.02.2016;Sylt-5;1;0;;;
2016;2;24.02.2016;Sylt-6;1;1;;;
2016;2;24.02.2016;Sylt-7;1;0;;;
2016;2;not sampled;Sylt-8;0;0;;;
2016;2;not sampled;Sylt-9;0;0;;;
2016;3;not sampled;Sylt-1;0;0;;;
2016;3;not sampled;Sylt-2;0;0;;;
2016;3;not sampled;Sylt-3;0;0;;;
2016;3;not sampled;Sylt-4;0;0;;;
2016;3;not sampled;Sylt-5;0;0;;;
2016;3;not sampled;Sylt-6;0;0;;;
2016;3;not sampled;Sylt-7;0;0;;;
2016;3;not sampled;Sylt-8;0;0;;;
2016;3;not sampled;Sylt-9;0;0;;;
2016;4;05.04.2016;Sylt-1;1;1;;;
2016;4;05.04.2016;Sylt-2;1;1;;;
2016;4;05.04.2016;Sylt-3;1;0;;;
2016;4;06.04.2016;Sylt-4;1;1;;;
2016;4;05.04.2016;Sylt-5;1;0;;;
2016;4;06.04.2016;Sylt-6;1;1;;;
2016;4;06.04.2016;Sylt-7;1;0;;;
2016;4;05.04.2016;Sylt-8;1;1;;;
2016;4;06.04.2016;Sylt-9;1;1;;;
2016;5;18.05.2016;Sylt-1;1;1;;;
2016;5;18.05.2016;Sylt-2;1;1;jellyfish;;
2016;5;18.05.2016;Sylt-3;1;0;;;
2016;5;19.05.2016;Sylt-4;1;1;jellyfish;;
2016;5;18.05.2016;Sylt-5;1;0;jellyfish;;
2016;5;19.05.2016;Sylt-6;1;1;jellyfish;;
2016;5;19.05.2016;Sylt-7;1;0;jellyfish;;
2016;5;not sampled;Sylt-8;0;0;;;
2016;5;not sampled;Sylt-9;0;0;;;
2016;6;07.06.2016;Sylt-1;1;1;jellyfish;;
2016;6;07.06.2016;Sylt-2;1;1;jellyfish;;
2016;6;07.06.2016;Sylt-3;1;0;jellyfish;;
2016;6;07.06.2016;Sylt-4;1;1;jellyfish;;
2016;6;07.06.2016;Sylt-5;1;0;jellyfish;;
2016;6;08.06.2016;Sylt-6;1;1;jellyfish;;
2016;6;08.06.2016;Sylt-7;1;0;jellyfish;;
2016;6;not sampled;Sylt-8;0;0;;;
2016;6;not sampled;Sylt-9;0;0;;;
2016;7;14.07.2015;Sylt-1;1;1;;;
2016;7;14.07.2015;Sylt-2;1;1;;;
2016;7;14.07.2015;Sylt-3;1;0;;;
2016;7;14.07.2015;Sylt-4;1;1;;;
2016;7;14.07.2015;Sylt-5;1;0;;;
2016;7;14.07.2015;Sylt-6;1;1;;;
2016;7;14.07.2015;Sylt-7;1;0;;;
2016;7;not sampled;Sylt-8;0;0;;;
2016;7;not sampled;Sylt-9;0;0;;;
2016;8;06.09.2016;Sylt-1;1;1;;;
2016;8;06.09.2016;Sylt-2;1;1;;;
2016;8;06.09.2016;Sylt-3;1;0;;;
2016;8;07.09.2016;Sylt-4;1;1;;;
2016;8;06.09.2016;Sylt-5;1;0;;;
2016;8;07.09.2016;Sylt-6;1;1;;;
2016;8;07.09.2016;Sylt-7;1;0;;;
2016;8;not sampled;Sylt-8;0;0;;;
2016;8;not sampled;Sylt-9;0;0;;;
2016;9;20.09.2016;Sylt-1;1;1;jellyfish, algae;;
2016;9;not sampled;Sylt-2;0;0;;;
2016;9;20.09.2016;Sylt-3;1;0;jellyfish;;
2016;9;not sampled;Sylt-4;0;0;;;
2016;9;not sampled;Sylt-5;0;0;;;
2016;9;not sampled;Sylt-6;0;0;;;
2016;9;not sampled;Sylt-7;0;0;;;
2016;9;20.09.2016;Sylt-8;1;1;jellyfish, algae;;
2016;9;not sampled;Sylt-9;0;0;;;
2016;10;18.10.2016;Sylt-1;1;1;jellyfish;;
2016;10;17.10.2016;Sylt-2;1;1;;;
2016;10;18.10.2016;Sylt-3;1;0;;;
2016;10;17.10.2016;Sylt-4;1;1;;;
2016;10;17.10.2016;Sylt-5;1;0; ;;
